date,countries,tracker
2009-06-30,ID,4.237485174091409
2009-09-30,ID,4.939320604441851
2009-12-31,ID,7.204807077559401
2010-03-31,ID,7.487878266456687
2010-06-30,ID,6.920139794903624
2010-09-30,ID,4.9496116358214115
2010-12-31,ID,6.481797187223478
2011-03-31,ID,7.223301883511505
2011-06-30,ID,3.920168450906252
2011-09-30,ID,5.756788404114652
2011-12-31,ID,6.492016527832144
2012-03-31,ID,6.106602078058282
2012-06-30,ID,7.519715509263889
2012-09-30,ID,5.456136827100112
2012-12-31,ID,7.596820865715861
2013-03-31,ID,6.122737893174112
2013-06-30,ID,5.31788734636042
2013-09-30,ID,5.796097012634807
2013-12-31,ID,5.602047186186779
2014-03-31,ID,4.897448344892739
2014-06-30,ID,5.827133443076937
2014-09-30,ID,4.875267159084107
2014-12-31,ID,5.151846971480692
2015-03-31,ID,4.700947579154596
2015-06-30,ID,4.698448801886038
2015-09-30,ID,5.979534581145821
2015-12-31,ID,4.725242224979537
2016-03-31,ID,5.139605520200081
2016-06-30,ID,4.839189318699411
2016-09-30,ID,4.5509579299770655
2016-12-31,ID,4.939623507572068
2017-03-31,ID,3.959463646623326
2017-06-30,ID,5.225818975452921
2017-09-30,ID,4.937283595779184
2017-12-31,ID,4.555317462067583
2018-03-31,ID,5.054520266743924
2018-06-30,ID,6.132912254329193
2018-09-30,ID,4.822735874759479
2018-12-31,ID,5.3957779875776914
2019-03-31,ID,5.068369441056136
2019-06-30,ID,4.425725396972797
2019-09-30,ID,4.799721477362231
2019-12-31,ID,5.039950196797064
2020-03-31,ID,2.1185790166505827
2020-06-30,ID,-7.00824225669071
2020-09-30,ID,-4.4485675050407805
2020-12-31,ID,-3.193359746148772
2021-03-31,ID,-0.6533048370227105
2021-06-30,ID,4.297470827352507
2021-09-30,ID,2.621656787259653
2021-12-31,ID,6.954052636338602
2005-03-31,IN,9.277911882651235
2005-06-30,IN,9.809142828340484
2005-09-30,IN,7.461266256005098
2005-12-31,IN,9.876619355527092
2006-03-31,IN,6.35950973380403
